timestamp,elapsed,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1768811057.6282566,0.23400402069091797,34,16,44,,,,,,
1768811057.6876323,0.2923743724822998,34,16,44,,,,,,
1768811057.7479522,0.35268449783325195,33,16,44,,,,,,
1768811057.8127744,0.41753387451171875,35,15,46,,,,,,
1768811057.875849,0.48059511184692383,35,15,46,,,,,,
1768811057.9397304,0.5454778671264648,33,16,43,,,,,,
1768811057.9989166,0.6046640872955322,33,16,43,,,,,,
1768811058.0628102,0.6675581932067871,34,16,45,,,,,,
1768811058.126981,0.7317304611206055,34,16,44,,,,,,
1768811058.1875503,0.7919561862945557,34,16,44,,,,,,
1768811058.2507772,0.8565247058868408,34,16,44,,,,,,
1768811058.3118749,0.9176223278045654,34,17,43,,,,,,
1768811058.3777845,0.9825339317321777,33,17,43,,,,,,
1768811058.4549005,1.0600864887237549,35,16,45,,,,,,
1768811058.5128837,1.11863112449646,34,16,44,,,,,,
1768811058.579633,1.185380458831787,33,17,42,,,,,,
1768811058.6401293,1.2448773384094238,32,17,41,,,,,,
1768811058.7176747,1.3234221935272217,33,16,43,,,,,,
1768811058.7953079,1.4000399112701416,33,17,43,,,,,,
1768811058.8715234,1.4772708415985107,33,17,42,,,,,,
1768811058.9503355,1.5550849437713623,32,17,41,,,,,,
1768811059.0302966,1.6350536346435547,33,17,42,,,,,,
1768811059.1087902,1.7145376205444336,32,17,42,,,,,,
1768811059.1862392,1.790992021560669,32,17,41,,,,,,
1768811059.2641242,1.8698716163635254,33,17,42,,,,,,
1768811059.3452575,1.9500079154968262,32,17,41,,,,,,
1768811059.4234195,2.028167247772217,32,18,40,,,,,,
1768811059.4978514,2.102595329284668,32,18,39,,,,,,
1768811059.5778024,2.1825528144836426,32,18,40,,,,,,
1768811059.6543067,2.259138345718384,32,17,41,,,,,,
1768811059.7339284,2.3390722274780273,32,18,40,,,,,,
1768811059.8099291,2.4141368865966797,31,19,38,,,,,,
1768811059.8861325,2.491879940032959,31,18,39,,,,,,
1768811059.96654,2.5712687969207764,31,18,40,,,,,,
1768811060.0425904,2.64741587638855,31,18,39,,,,,,
1768811060.1177049,2.72345232963562,31,18,40,,,,,,
1768811060.1834817,2.789229154586792,31,18,40,,,,,,
1768811060.265404,2.8711514472961426,31,19,38,,,,,,
1768811060.3425033,2.9482507705688477,32,19,38,,,,,,
1768811060.4155693,3.0203166007995605,31,19,38,,,,,,
1768811060.4811318,3.086879253387451,31,19,38,,,,,,
1768811060.5559063,3.161653757095337,31,20,36,,,,,,
1768811060.6189244,3.2246718406677246,31,20,36,,,,,,
1768811060.696325,3.302072525024414,31,19,38,,,,,,
1768811060.760416,3.3654375076293945,32,19,39,,,,,,
1768811060.839065,3.443815231323242,32,19,38,,,,,,
1768811060.91847,3.5232205390930176,32,20,38,,,,,,
1768811060.9935627,3.5993101596832275,31,20,38,,,,,,
1768811061.0578306,3.6635780334472656,31,20,37,,,,,,
1768811061.137134,3.741882085800171,31,20,37,,,,,,
1768811061.2160158,3.8208346366882324,32,19,39,,,,,,
1768811061.292944,3.897693395614624,31,20,37,,,,,,
1768811061.3722878,3.9770419597625732,30,21,35,,,,,,
1768811061.4515133,4.056263208389282,30,21,35,,,,,,
1768811061.5265288,4.131355047225952,32,19,38,,,,,,
1768811061.6075914,4.213338851928711,33,19,40,,,,,,
1768811061.685297,4.291044473648071,32,20,37,,,,,,
1768811061.7649276,4.370675086975098,31,20,37,,,,,,
1768811061.843956,4.448707103729248,30,21,36,,,,,,
1768811061.9201694,4.524924993515015,30,21,35,,,,,,
1768811061.9955833,4.601330757141113,31,20,36,,,,,,
1768811062.0745423,4.6802897453308105,33,18,40,,,,,,
1768811062.1522973,4.758044719696045,33,18,40,,,,,,
1768811062.2294514,4.834199666976929,30,20,36,,,,,,
1768811062.3105264,4.915271282196045,30,20,36,,,,,,
1768811062.3865628,4.991310358047485,30,20,37,,,,,,
1768811062.464705,5.06946587562561,30,20,37,,,,,,
1768811062.53798,5.142723798751831,32,20,38,,,,,,
1768811062.6050193,5.209365367889404,32,19,39,,,,,,
1768811062.6847515,5.290498971939087,31,20,37,,,,,,
1768811062.7611084,5.365856885910034,31,20,37,,,,,,
1768811062.8392236,5.443971872329712,31,19,38,,,,,,
1768811062.9171376,5.521888017654419,31,19,38,,,,,,
1768811062.996992,5.601744651794434,31,21,36,,,,,,
1768811063.0737016,5.678450345993042,31,21,36,,,,,,
1768811063.1540184,5.758767366409302,31,20,37,,,,,,
1768811063.2293637,5.835111141204834,32,20,38,,,,,,
1768811063.3074653,5.912214517593384,31,20,37,,,,,,
1768811063.3874223,5.9917073249816895,31,20,37,,,,,,
1768811063.464722,6.070469379425049,31,20,37,,,,,,
1768811063.544256,6.150003433227539,31,20,37,,,,,,
1768811063.623525,6.228730201721191,30,20,36,,,,,,
1768811063.696703,6.301796913146973,32,20,38,,,,,,
1768811063.765657,6.370405673980713,33,19,40,,,,,,
1768811063.8428836,6.448631048202515,31,20,38,,,,,,
1768811063.9208956,6.525641202926636,30,20,37,,,,,,
1768811063.983932,6.589679479598999,31,20,37,,,,,,
1768811064.0447526,6.650500059127808,31,20,37,,,,,,
1768811064.1117997,6.716553211212158,31,20,37,,,,,,
1768811064.1738012,6.7785539627075195,31,20,37,,,,,,
1768811064.2377615,6.843508958816528,31,20,37,,,,,,
1768811064.3014615,6.9072089195251465,31,20,37,,,,,,
